term,definition,disciplines,url
brine,"1. (n.) [Geology] Water containing more dissolved inorganic salt than typical seawater. | 2. (n.) [Drilling] Saline liquid usually used in completion operations and, increasingly, when penetrating a pay zone. Brines are preferred because they have higher densities than fresh water but lack solid particles that might damage producible formations. Classes of brines include chloride brines (calcium and sodium), bromides, and formates. | 3. (n.) [Drilling Fluids] A general term that refers to various salts and salt mixtures dissolved in an aqueous solution. Brine can be used more strictly, however, to refer to solutions of sodium chloride. We prefer to use brine as a general term. The emulsified calcium chloride [CaCl2] solution (or any other saline phase) in an oil mud is referred to as ""brine"" or ""brine phase."" The oil/brine ratio, abbreviated OBR, is used to compare solids content and salinities of oil muds. Clear brines are salt solutions that have few or no suspended solids. | 4. (n.) [Well Completions] A water-based solution of inorganic salts used as a well-control fluid during the completion and workover phases of well operations. Brines are solids free, containing no particles that might plug or damage a producing formation. In addition, the salts in brine can inhibit undesirable formation reactions such as clay swelling. Brines are typically formulated and prepared for specific conditions, with a range of salts available to achieve densities ranging from 8.4 to over 20 lbm/galUS (ppg) [1.0 to 2.4 g/cm3]. Common salts used in the preparation of simple brine systems include sodium chloride, calcium chloride, and potassium chloride. More complex brine systems may contain zinc, bromide, or iodine salts. These brines are generally corrosive and costly. | 5. (n.) [Production Facilities] Water containing salts in solution, such as sodium, calcium, or bromides. Brine is commonly produced along with oil. The disposal of oilfield brine is usually accomplished by underground injection into saltwater-saturated formations or by evaporation in surface pits.",Drilling; Drilling Fluids; Geology; Production Facilities; Well Completions,https://glossary.slb.com/en/terms/b/brine
British thermal unit,[Production Facilities] A measure of heat energy required to raise the temperature of one pound of water by one degree Fahrenheit. British thermal unit is abbreviated as BTU.,Production Facilities,https://glossary.slb.com/en/terms/b/british_thermal_unit
BTU,[Production Facilities] Abbreviation for British thermal unit.,Production Facilities,https://glossary.slb.com/en/terms/b/btu
carryover,"[Production Facilities] A phenomenon in which free liquid leaves with the gas phase at the top of a separator. Carryover can indicate high liquid level, damage of the separator, or plugged liquid valves at the bottom of the separator. Antonyms: blow-by",Production Facilities,https://glossary.slb.com/en/terms/c/carryover
compression ratio,"[Production Facilities] The ratio of the volume of an engine's cylinder at the beginning of the compression to its volume at the end of the compression process. For example, a cylinder with a volume of 20 cubic inches before compression and 1 cubic inch as its final volume after compression has a compression ratio of 20:1.",Production Facilities,https://glossary.slb.com/en/terms/c/compression_ratio
compressor,[Production Facilities] A device that raises the pressure of air or natural gas. A compressor normally uses positive displacement to compress the gas to higher pressures so that the gas can flow into pipelines and other facilities.,Production Facilities,https://glossary.slb.com/en/terms/c/compressor
compressor plant,"[Production Facilities] A facility consisting of many compressors, auxiliary treatment equipment and pipeline installations to pump natural gas under pressure over long distances. A compressor plant is also called a compressor station. Several compressor stations can be used to repressurize gas in large interstate gas pipelines or to link offshore gas fields to their final terminals.",Production Facilities,https://glossary.slb.com/en/terms/c/compressor_plant
cut oil,"[Production Facilities] A crude oil that contains water, normally in the form of an emulsion. The emulsion must be treated inside heaters using chemicals, which will break the mixture into its individual components (water and crude oil).",Production Facilities,https://glossary.slb.com/en/terms/c/cut_oil
cycle condensate,[Production Facilities] A condensate (liquid hydrocarbon) produced at surface from cycle gas.,Production Facilities,https://glossary.slb.com/en/terms/c/cycle_condensate
cycle gas,"[Production Facilities] A gas that is compressed and injected back to the reservoir. In gas-condensate reservoirs, after the liquids or condensate are recovered at the surface, the residue gas (dry gas) is returned to the reservoir to maintain pressure. This prevents retrograde condensation, which will form unrecoverable liquid hydrocarbons in the reservoir.",Production Facilities,https://glossary.slb.com/en/terms/c/cycle_gas
cycling plant,"[Production Facilities] An oilfield installation used when producing from a gas-condensate reservoir. In a cycling plant, the liquids are extracted from the natural gas and then the remaining dry gas is compressed and returned to the producing formation to maintain reservoir pressure. This process increases the ultimate recovery of liquids.",Production Facilities,https://glossary.slb.com/en/terms/c/cycling_plant
DEA unit,"[Production Facilities] A treating system used to remove hydrogen sulfide [H2S], carbon dioxide [CO2] and carbonyl sulfide from a gas stream. The acid gases are absorbed by the diethanolamine (DEA), and sweet gas leaves at the top of the absorber.",Production Facilities,https://glossary.slb.com/en/terms/d/dea_unit
defoaming plates,"[Production Facilities] In a separator, a series of inclined parallel plates or tubes to promote coalescence, or merging, of the foam bubbles liberated from the liquid.",Production Facilities,https://glossary.slb.com/en/terms/d/defoaming_plates
dehydrate,"[Production Facilities] To remove water from a substance. The substance may be crude oil, natural gas, or natural gas liquids (NGL). Fluid dehydration is needed to prevent corrosion and free-water accumulation in the low points of a pipeline. In the case of gas, it is especially important to avoid hydrate formation and also to meet pipeline requirements. Typical maximum allowable water vapor content is 7 pounds of water per million standard cubic feet. In colder climates, this threshold value could be 3 to 5 pounds per million standard cubic feet. Water vapor can also affect the sweetening and refining processes of a natural gas. Dehydration of crude oil is normally achieved using emulsion breakers, while gas dehydration is accomplished using various liquid desiccants such as glycols (ethylene, diethylene, triethylene and tetraethylene) or solid desiccants such as silica gel or calcium chloride [CaCl2].",Production Facilities,https://glossary.slb.com/en/terms/d/dehydrate
dehydrator,"[Production Facilities] A device used to remove water and water vapors from gas. Gas dehydration can be accomplished through a glycol dehydrator or a dry-bed dehydrator, which use a liquid desiccant and a solid desiccant, respectively. Gas dehydrators are designed to handle only water and gas vapors. If liquid water or oil enters the dehydrator, the device cannot work properly.",Production Facilities,https://glossary.slb.com/en/terms/d/dehydrator
desiccant,"[Production Facilities] A substance used in a gas-dehydration unit to remove water and moisture. The desiccant can be liquid, such as methanol, glycol (ethylene, diethylene, triethylene, and tetraethylene). Desiccants also can be solid, such as silica gel or calcium chloride [CaCl2]. The most common gas-dehydration system (glycol dehydrator) uses liquid desiccants such as diethylene, triethylene and tetraethylene, which are substances that can be regenerated. Regeneration means that the water absorbed by these substances can be separated from them. Some liquid desiccants such as methanol or ethylene cannot be regenerated. Solid desiccants are also used for gas dehydration. They are placed as beds through which wet gas is passed. The main limitation of the use of solid desiccants is that they absorb only limited quantities of water. When the desiccant saturation point is reached, the solid desiccant must be replaced. Another limitation is that sometimes water cannot be removed from it.",Production Facilities,https://glossary.slb.com/en/terms/d/desiccant
desulfurize,[Production Facilities] To remove sulfur or sulfur compounds from an oil or gas stream.,Production Facilities,https://glossary.slb.com/en/terms/d/desulfurize
downstream pipeline,[Production Facilities] A pipeline that receives natural gas or oil from another pipeline at some specific connection point.,Production Facilities,https://glossary.slb.com/en/terms/d/downstream_pipeline
drip,1. (n.) [Production Facilities] A small vessel in a pipeline to receive water and heavy hydrocarbons that drop out of a gas stream. Drips are normally installed in the lower points of flow lines and must be blown periodically to remove liquids. | 2. (n.) [Production Testing] The water and heavy hydrocarbons that condense from the gas stream and accumulate in the lower points of the flowlines.,Production Facilities; Production Testing,https://glossary.slb.com/en/terms/d/drip
drip accumulator,[Production Facilities] A device used to collect water and heavy hydrocarbons that drop out of a gas stream in a pipeline.,Production Facilities,https://glossary.slb.com/en/terms/d/drip_accumulator
dry bed,"[Production Facilities] A hygroscopic solid such as silica gel, calcium chloride [CaCl2] or other materials used in dry-bed dehydrators to absorb water and water vapor from a gas stream.",Production Facilities,https://glossary.slb.com/en/terms/d/dry_bed
dry oil,[Production Facilities] A treated oil that contains small amounts of basic sediments and water (BS&W). Dry oil is also called clean oil. Antonyms: wet oil,Production Facilities,https://glossary.slb.com/en/terms/d/dry_oil
dry-bed dehydrator,"[Production Facilities] A device that removes water and water vapor from a gas stream using two or more beds of solid desiccants, such as silica gel or calcium chloride [CaCl2]. Wet gas is passed through the solid material, which absorbs the water, and then dry gas is collected at the top of the device. The main limitation of this device is that the solid desiccant absorbs only limited quantities of water. When the desiccant saturation point is reached, it must be replaced and sometimes water cannot be removed from it.",Production Facilities,https://glossary.slb.com/en/terms/d/dry-bed_dehydrator
evaporation pit,[Production Facilities] A hole dug to contain brine for disposal by evaporation. Some evaporation pits are lined with plastic or asphalt to keep water from filtering through and contaminating nearby free-water aquifers.,Production Facilities,https://glossary.slb.com/en/terms/e/evaporation_pit
flare,1. (n.) [Production Facilities] The burning of unwanted gas through a pipe (also called a flare). Flaring is a means of disposal used when there is no way to transport the gas to market and the operator cannot use the gas for another purpose. Flaring generally is not allowed because of the high value of gas and environmental concerns. | 2. (n.) [Production Facilities] An arrangement consisting of a vertical tower and burners used to burn combustible vapors. A flare is usually situated near a producing well or at a gas plant or refinery. A flare is also called a flare stack.,Production Facilities,https://glossary.slb.com/en/terms/f/flare
flare gas,[Production Facilities] A vapor or gas that is burned through a pipe or burners.,Production Facilities,https://glossary.slb.com/en/terms/f/flare_gas
FLNG,"[Production Facilities, Production Testing] Abbreviation for floating liquefied natural gas vessel. FLNGs are deployed offshore in locations that have limited access to pipelines to carry natural gas to the mainland. They serve to recover, liquefy, store, and transfer LNG produced from subsea wells. Processed using equipment on the ship’s deck, the natural gas may then be stored in the ship’s hull before it is offloaded to carriers and sent directly to LNG markets. These vessels reduce the need for flaring of natural gas to the atmosphere during production or testing.","Production Facilities, Production Testing",https://glossary.slb.com/en/terms/f/flng
FPSO,"[Production Logging, Production Facilities] Abbreviation for floating production, storage, and offloading vessel. FPSOs are commonly deployed for offshore production in locations that have little infrastructure. They serve as gathering, processing and storage facilities for fluids produced from subsea wells. Processed using equipment on the ship’s deck, the fluids are then stored in the ship’s hull before they are offloaded to pipelines, barges, or ships. Produced natural gas may be sent to shore via pipeline or flared if no pipeline is readily available.","Production Logging, Production Facilities",https://glossary.slb.com/en/terms/f/fpso
free-water knockout,"[Production Facilities] A vertical or horizontal separator used mainly to remove any free water that can cause problems such as corrosion and formation of hydrates or tight emulsions, which are difficult to break. A free-water knockout is commonly called a three-phase separator because it can separate gas, oil and free water. The liquids that are discharged from the free-water knockout are further treated in vessels called treaters. Free-water knockout is abbreviated as FWKO. Antonyms: three-phase separator",Production Facilities,https://glossary.slb.com/en/terms/f/free-water_knockout
FWKO,"[Production Facilities] A vertical or horizontal separator used mainly to remove any free water that can cause problems such as corrosion and formation of hydrates or tight emulsions, which are difficult to break. A free-water knockout is commonly called a three-phase separator because it can separate gas, oil and free water. The liquids that are discharged from the free-water knockout are further treated in vessels called treaters. Free-water knockout is abbreviated as FWKO. Antonyms: three-phase separator",Production Facilities,https://glossary.slb.com/en/terms/f/fwko
gas processing plant,"[Production Facilities] An installation that processes natural gas to recover natural gas liquids (condensate, natural gasoline and liquefied petroleum gas) and sometimes other substances such as sulfur. A gas processing plant is also known as a natural gas processing plant.",Production Facilities,https://glossary.slb.com/en/terms/g/gas_processing_plant
gaswell gas,[Production Facilities] The gas produced or separated at surface conditions from the full well stream produced from a natural gas reservoir.,Production Facilities,https://glossary.slb.com/en/terms/g/gaswell_gas
gaswell liquids,[Production Facilities] The liquids separated at surface conditions from the full well stream produced from a natural gas reservoir.,Production Facilities,https://glossary.slb.com/en/terms/g/gaswell_liquids
gathering lines,[Production Facilities] The pipes used to transport oil and gas from a field to the main pipeline in the area.,Production Facilities,https://glossary.slb.com/en/terms/g/gathering_lines
gathering system,"[Production Facilities] The flowline network and process facilities that transport and control the flow of oil or gas from the wells to a main storage facility, processing plant or shipping point. A gathering system includes pumps, headers, separators, emulsion treaters, tanks, regulators, compressors, dehydrators, valves and associated equipment. There are two types of gathering systems, radial and trunk line. The radial type brings all the flowlines to a central header, while the trunk-line type uses several remote headers to collect fluid. The latter is mainly used in large fields. The gathering system is also called the collecting system or gathering facility.",Production Facilities,https://glossary.slb.com/en/terms/g/gathering_system
glycol absorber,"[Production Facilities] In a glycol dehydrator unit, the cylinder composed of various perforated trays in which wet gas and glycol are put in contact.",Production Facilities,https://glossary.slb.com/en/terms/g/glycol_absorber
glycol dehydrator,"[Production Facilities] A unit used to remove minute water particles from natural gas if dehydration was not attained using separators. A glycol dehydrator unit is usually composed of an absorber and a reboiler. The wet gas enters at the bottom of the absorber. As the wet gas percolates upward, it releases its water into the glycol solution and dry gas is obtained at the top of the absorber. When the glycol solution becomes saturated with water, the glycol solution is pumped through a reboiler, also called a reconcentrator, which boils the glycol-water mixture and separates the glycol from the water. After separation, the glycol can return to the absorber to contact additional wet gas.",Production Facilities,https://glossary.slb.com/en/terms/g/glycol_dehydrator
gravity segregation,"[Production Facilities] The tendency of fluids to stratify into different layers because of gravity forces. In gravity segregation, the heaviest fluid settles near the bottom and the lightest fluid rises to the top. Gravity segregation occurs inside reservoirs as well as in separator facilities.",Production Facilities,https://glossary.slb.com/en/terms/g/gravity_segregation
gun barrel,[Production Facilities] A settling tank used for treating oil. Oil and brine are separated only by gravity segregation forces. The clean oil floats to the top and brine is removed from the bottom of the tank. Gun barrels are found predominantly in older or marginal fields. A gun barrel is also called a wash tank.,Production Facilities,https://glossary.slb.com/en/terms/g/gun_barrel
hatch,[Production Facilities] An opening in the top of a tank through which samples are taken or inspection is made.,Production Facilities,https://glossary.slb.com/en/terms/h/hatch
header,"1. (n.) [Geophysics] The location, acquisition and processing parameters, and other pertinent information attached to a well log, seismic record and traces. | 2. (n.) [Production Facilities] In a gathering system, a pipe arrangement that connects flowlines from several wellheads into a single gathering line. A header has production and testing valves to control the flow of each well, thus directing the produced fluids to production or testing vessels. Individual gas/oil ratios and well production rates of oil, gas and water can be assigned by opening and closing selected valves in a header and using individual metering equipment or separators.",Geophysics; Production Facilities,https://glossary.slb.com/en/terms/h/header
heater,"[Production Facilities] Equipment that transfers heat to the produced gas stream. Heaters are especially used when producing natural gas or condensate to avoid the formation of ice and gas hydrates. These solids can plug the wellhead, chokes and flowlines. The production of natural gas is usually accompanied by water vapor. As this mixture is produced, it cools down on its way to the surface and also when the mixture passes through a surface production choke. This reduction of fluid temperature can favor the formation of gas hydrates if heaters are not used. Heaters may also be used to heat emulsions before further treating procedures or when producing crude oil in cold weather to prevent freezing of oil or formation of paraffin accumulations.",Production Facilities,https://glossary.slb.com/en/terms/h/heater
heater treater,"[Production Facilities] A vessel that uses heat to break oil-water emulsions so the oil can be accepted by the pipeline or transport. There are vertical and horizontal treaters. The main difference between them is the residence time, which is shorter in the vertical configuration compared with the horizontal one.",Production Facilities,https://glossary.slb.com/en/terms/h/heater_treater
horizontal separator,"[Production Facilities] A vessel, with its cylindrical axes parallel to the ground, that is used to separate oil, gas and water from the produced stream. The horizontal separator can be a two-phase or three-phase separator.",Production Facilities,https://glossary.slb.com/en/terms/h/horizontal_separator
hydrogen sulfide,"[Drilling, Drilling Fluids, Production Facilities, Well Testing, Well Workover and Intervention, Well Completions] [H2S] An extraordinarily poisonous gas with a molecular formula of H2S. At low concentrations, H2S has the odor of rotten eggs, but at higher, lethal concentrations, it is odorless. H2S is hazardous to workers and a few seconds of exposure at relatively low concentrations can be lethal, but exposure to lower concentrations can also be harmful. The effect of H2S depends on duration, frequency and intensity of exposure as well as the susceptibility of the individual. Hydrogen sulfide is a serious and potentially lethal hazard, so awareness, detection and monitoring of H2S is essential. Since hydrogen sulfide gas is present in some subsurface formations, drilling and other operational crews must be prepared to use detection equipment, personal protective equipment, proper training and contingency procedures in H2S-prone areas. Hydrogen sulfide is produced during the decomposition of organic matter and occurs with hydrocarbons in some areas. It enters drilling mud from subsurface formations and can also be generated by sulfate-reducing bacteria in stored muds. H2S can cause sulfide-stress-corrosion cracking of metals. Because it is corrosive, H2S production may require costly special production equipment such as stainless steel tubing. Sulfides can be precipitated harmlessly from water muds or oil muds by treatments with the proper sulfide scavenger. H2S is a weak acid, donating two hydrogen ions in neutralization reactions, forming HS- and S-2 ions. In water or water-base muds, the three sulfide species, H2S and HS- and S-2 ions, are in dynamic equilibrium with water and H+ and OH- ions. The percent distribution among the three sulfide species depends on pH. H2S is dominant at low pH, the HS- ion is dominant at mid-range pH and S2 ions dominate at high pH. In this equilibrium situation, sulfide ions revert to H2S if pH falls. Sulfides in water mud and oil mud can be quantitatively measured with the Garrett Gas Train according to procedures set by API.","Drilling, Drilling Fluids, Production Facilities, Well Testing, Well Workover and Intervention, Well Completions",https://glossary.slb.com/en/terms/h/hydrogen_sulfide
lean glycol,"[Production Facilities] In a glycol dehydrator, glycol that has been boiled and no longer contains any water. When the glycol is lean, it can be pumped back to the absorber for reuse.",Production Facilities,https://glossary.slb.com/en/terms/l/lean_glycol
liquefied natural gas carrier,[Production Facilities] A sea vessel used to transport liquefied petroleum gas (LPG). The term is commonly abbreviated as LNGC.,Production Facilities,https://glossary.slb.com/en/terms/l/liquefied_natural_gas_carrier
liquid desiccant,"[Production Facilities] A hygroscopic liquid used to remove water and water vapor from a gas stream. Some liquid desiccants are glycols (diethylene, triethylene and tetraethylene), which are substances that can be regenerated. Regeneration means that the water absorbed by these substances can be separated from them. Some liquid desiccants, such as methanol or ethylene, cannot be regenerated.",Production Facilities,https://glossary.slb.com/en/terms/l/liquid_desiccant
LNGC,"[Production Facilities] Abbreviation for liquefied natural gas carrier, which is a sea vessel used to transport liquefied petroleum gas (LPG).",Production Facilities,https://glossary.slb.com/en/terms/l/lngc
loose emulsion,[Production Facilities] An emulsion with large and widely distributed droplets. A loose emulsion can be easy to break. Antonyms: tight emulsion,Production Facilities,https://glossary.slb.com/en/terms/l/loose_emulsion
mist,"[Production Facilities] Small liquid droplets (moisture or liquid hydrocarbons) in a gas stream. In separators, mist extractors are used to collect mist.",Production Facilities,https://glossary.slb.com/en/terms/m/mist
mist extractor,"[Production Facilities] A device used to collect small liquid droplets (moisture or hydrocarbons) from the gas stream before it leaves the separator. The two most common types of mist extractors are wire-mesh pads and vanes. Once the small droplets of liquid are collected, they are removed along with the other liquids from the separator.",Production Facilities,https://glossary.slb.com/en/terms/m/mist_extractor
multiphase pump,"[Production Facilities] A pump that can handle the complete production from a well (oil, natural gas, water and sand, for example) without needing to separate or process the production stream near or at the wellhead. This reduces the cost associated with the surface facilities. Using multiphase pumps allows development of remote locations or previously uneconomical fields. Additionally, since the surface equipment, including separators, heater-treaters, dehydrators and pipes, is reduced, the impact on the environment is also reduced. Multiphase pumps can handle high gas volumes as well as the slugging and different flow regimes associated with multiphase production. Multiphase pumps include twin-screw pumps, piston pumps and helicoaxial pumps.",Production Facilities,https://glossary.slb.com/en/terms/m/multiphase_pump
oil and gas separator,"[Production Facilities] A vessel that separates the well fluids into gas and total liquid. A two-phase separator can be horizontal, vertical or spherical. The liquid (oil, emulsion) leaves the vessel at the bottom through a level-control or dump valve. The gas leaves the vessel at the top, passing through a mist extractor to remove the small liquid droplets in the gas. Separators can be categorized according to their operating pressure. Low-pressure units handle pressures of 10 to 180 psi [69 to 1,241 kPa]. Medium-pressure separators operate from 230 to 700 psi [1,586 to 4,826 kPa]. High-pressure units handle pressures of 975 to 1,500 psi [6,722 to 10,342 kPa]. Gravity segregation is the main force that accomplishes the separation, which means the heaviest fluid settles to the bottom and the lightest fluid rises to the top. Additionally, inside the vessel, the degree of separation between gas and liquid will depend on the separator operating pressure, the residence time of the fluid mixture and the type of flow of the fluid. Turbulent flow allows more bubbles to escape than laminar flow.",Production Facilities,https://glossary.slb.com/en/terms/o/oil_and_gas_separator
pipeline,[Production Facilities] A tube or system of tubes used for transporting crude oil and natural gas from the field or gathering system to the refinery.,Production Facilities,https://glossary.slb.com/en/terms/p/pipeline
pipeline capacity,"[Production Facilities] The quantity (volume) of oil and gas required to maintain a full pipeline. The static capacity of a pipeline is usually expressed as a volume per unit length (for example, bbl/ft). Nevertheless, the fluid volume passing through a pipeline in a specific time period will depend on initial pressure, flow characteristics, ground elevation, density and delivery pressure.",Production Facilities,https://glossary.slb.com/en/terms/p/pipeline_capacity
pipeline gas,"[Production Facilities] A sufficiently dry gas that will not drop out natural gas liquids (NGL) when entering the gas pipeline; also, gas with enough pressure to enter high-pressure gas pipelines.",Production Facilities,https://glossary.slb.com/en/terms/p/pipeline_gas
pipeline oil,"[Production Facilities] Oil whose free water, sediment and emulsion content (BS&W) is sufficiently low to be acceptable for pipeline shipment.",Production Facilities,https://glossary.slb.com/en/terms/p/pipeline_oil
pipeline patrol,"[Production Facilities] An inspection of a pipeline to check for leaks, washouts or other abnormal conditions. A pipeline patrol is commonly performed using airplanes.",Production Facilities,https://glossary.slb.com/en/terms/p/pipeline_patrol
pressure storage tank,"[Production Facilities] A tank designed for storing volatile liquids such as gasoline and liquefied petroleum gases (LPG), which generate high internal pressures. A pressure storage tank is commonly spherical. Other types include spheroidal or hemispherical vessels. Some pressure storage tanks can support several hundred pounds per square inch of internal pressure. A pressure storage tank is also called a pressure-type tank.",Production Facilities,https://glossary.slb.com/en/terms/p/pressure_storage_tank
raw natural gas,"1. (n.) [Production Facilities] Gas produced from the well, unprocessed natural gas or the inlet natural gas to a plant. The raw gas still contains natural gas liquids (condensate, natural gasoline and liquefied petroleum gas), water and some other impurities such as nitrogen, carbon dioxide, hydrogen sulfide and helium. The raw gas must be processed in a gas processing plant to make the gas commercial. | 2. (n.) [Production Testing] Gas coming directly from the wellbore containing nonhydrocarbon contaminants and hydrocarbons that can be liquefied.",Production Facilities; Production Testing,https://glossary.slb.com/en/terms/r/raw_natural_gas
residence time,"[Production Facilities] Another term for retention time, the amount of time a liquid stays in a vessel. The retention time assures that equilibrium between the liquid and gas has been reached at separator pressure. The retention time in a separator is determined by dividing the liquid volume inside the vessel by the liquid flow rate. The retention time usually varies between 30 seconds and 3 minutes. If a foaming crude is present, the retention time could be increased by four times its normal values.",Production Facilities,https://glossary.slb.com/en/terms/r/residence_time
retention time,"[Production Facilities] The amount of time a liquid stays in a vessel. The retention time assures that equilibrium between the liquid and gas has been reached at separator pressure. The retention time in a separator is determined by dividing the liquid volume inside the vessel by the liquid flow rate. The retention time usually varies between 30 seconds and 3 minutes. If a foaming crude is present, the retention time could be increased by four times its normal values.",Production Facilities,https://glossary.slb.com/en/terms/r/retention_time
rich glycol,"[Production Facilities] In a glycol dehydrator, glycol that contains water released by wet gas while percolating upward in the absorber.",Production Facilities,https://glossary.slb.com/en/terms/r/rich_glycol
roll a tank,"[Production Facilities] To agitate a tanks contents with gas or air injected through a roll line. This procedure is performed to settle out impurities or obtain a more homogeneous mixture of the chemicals added to oil, such as when chemicals used to break emulsions. The procedure is also used to mix chemicals before a stimulation treatment of an oil or gas well.",Production Facilities,https://glossary.slb.com/en/terms/r/roll_a_tank
roll line,"[Production Facilities] A thin, perforated pipe placed around the internal circumference of a tank. The purpose of the roll line is to agitate the contents of a tank.",Production Facilities,https://glossary.slb.com/en/terms/r/roll_line
separator,"[Production Facilities] A cylindrical or spherical vessel used to separate oil, gas and water from the total fluid stream produced by a well. Separators can be either horizontal or vertical. Separators can be classified into two-phase and three-phase separators (commonly called free-water knockout). The two-phase type deals only with oil and gas, while the three-phase type handles oil, water and gas. Additionally, separators can be categorized according to their operating pressure. Low-pressure units handle pressures of 10 to 180 psi [69 to 1241 kPa]. Medium-pressure separators operate from 230 to 700 psi [1586 to 4826 kPa]. High-pressure units handle pressures of 975 to 1500 psi [6722 to 10,342 kPa]. Gravity segregation is the main force that accomplishes the separation, which means the heaviest fluid settles to the bottom and the lightest fluid rises to the top. Additionally, inside the vessel, the degree of separation between gas and liquid will depend on the separator operating pressure, the residence time of the fluid mixture and the type of flow of the fluid. Turbulent flow allows more bubbles to escape than laminar flow.",Production Facilities,https://glossary.slb.com/en/terms/s/separator
SNG,[Production Facilities] Abbreviation for synthetic natural gas,Production Facilities,https://glossary.slb.com/en/terms/s/sng
solid desiccant,"[Production Facilities] A solid, such as silica gel or calcium chloride [CaCl2], used in a gas-dehydration unit to remove water and moisture. The desiccants are placed as beds through which wet gas is passed. The main limitation of the use of solid desiccants is that they absorb only limited quantities of water. When the desiccant saturation point is reached, the solid desiccant must be replaced. Another limitation is that sometimes water cannot be removed from it.",Production Facilities,https://glossary.slb.com/en/terms/s/solid_desiccant
spherical separator,"[Production Facilities] A ball-shaped vessel used for fluid separation. A spherical separator can be used for two-phase or three-phase separation purposes. Spherical separators are less efficient than either horizontal or vertical cylindrical separators and are seldom used. Nevertheless, their compact size and ease of transportation have made them suitable for crowded processing areas.",Production Facilities,https://glossary.slb.com/en/terms/s/spherical_separator
spot sample,[Production Facilities] A sample of liquid or sediments obtained at a specific depth inside a tank using a thief or a bottle. Spot samples are analyzed to determine the gravity of the oil and BS&W content of the fluid in the tank.,Production Facilities,https://glossary.slb.com/en/terms/s/spot_sample
stage separation,"[Production Facilities] An operation in which the well stream is passed through two or more separators that are arranged in series. The first separator is called first-stage separator, the second separator is called second-stage separator and additional separators are named according to their position in the series. The operating pressures are sequentially reduced, so the highest pressure is found at the first separator and the lowest pressure at the final separator. The objective of stage separation is to maximize the hydrocarbon liquid recovery and to provide maximum stabilization to the resultant phases (liquid and gas) leaving the final separator. Stabilization means that considerable amounts of gas or liquid will not evolve from the final liquid and gas phases, respectively, in places such as stock tanks or gas pipelines. Additionally, stage separation reduces the horsepower required by a compressor, since the gas is fed at higher pressures.",Production Facilities,https://glossary.slb.com/en/terms/s/stage_separation
